odor,gill_color,spore_print_color,gill_size,bruises,class
s,b,w,n,f,p
f,b,w,n,f,p
y,b,w,n,f,p
n,u,n,b,t,e
l,k,n,b,t,e
f,b,w,n,f,p
n,w,n,b,t,e
n,e,w,b,t,e
f,p,h,b,f,p
p,w,n,n,t,p
f,b,w,n,f,p
y,b,w,n,f,p
f,w,h,b,t,p
y,b,w,n,f,p
y,b,w,n,f,p
n,p,k,b,f,e
p,p,n,n,t,p
n,n,n,n,f,e
n,y,b,b,f,e
f,w,h,b,t,p
n,p,n,b,f,e
n,p,k,b,t,e
f,p,h,b,f,p
f,w,h,b,t,p
f,b,w,n,f,p
n,n,n,b,t,e
n,o,b,b,f,e
f,b,w,n,f,p
y,b,w,n,f,p
n,o,y,b,f,e
n,w,n,b,t,e
f,g,h,b,f,p
n,p,k,b,f,e
p,p,k,n,t,p
n,n,n,b,t,e
a,g,k,b,t,e
s,b,w,n,f,p
f,b,w,n,f,p
n,u,k,b,t,e
n,h,n,b,f,e
n,w,w,b,t,e
n,w,k,b,t,e
n,w,k,b,t,e
n,u,k,b,t,e
f,g,h,b,f,p
f,h,h,b,t,p
n,h,k,b,f,e
n,p,k,n,f,e
n,p,n,b,f,e
a,w,k,b,t,e
n,u,n,b,t,e
n,e,w,b,t,e
n,p,w,b,f,e
s,b,w,n,f,p
y,b,w,n,f,p
y,b,w,n,f,p
n,n,k,b,t,e
f,w,h,b,t,p
p,k,k,n,t,p
p,p,n,n,t,p
l,w,k,b,t,e
f,h,h,b,f,p
l,p,k,b,t,e
n,n,n,b,t,e
n,p,k,b,f,e
y,b,w,n,f,p
s,b,w,n,f,p
a,p,u,n,t,e
y,b,w,n,f,p
n,p,k,b,t,e
n,n,k,b,f,e
f,g,h,b,f,p
f,g,h,b,f,p
n,g,w,b,f,e
n,p,n,b,f,e
n,h,k,b,f,e
f,h,h,b,f,p
n,n,k,b,t,e
f,p,h,b,f,p
f,h,h,b,f,p
f,h,h,b,f,p
n,g,w,b,f,e
f,h,h,b,f,p
n,u,k,b,t,e
p,w,n,n,t,p
n,h,n,b,f,e
f,g,h,b,f,p
f,h,h,b,f,p
n,o,y,b,f,e
n,k,k,b,f,e
n,p,n,b,t,e
f,g,h,b,f,p
n,g,w,b,f,e
a,p,u,n,t,e
n,g,k,n,f,e
p,k,k,n,t,p
p,k,n,n,t,p
n,y,b,b,f,e
y,b,w,n,f,p
y,b,w,n,f,p
c,u,k,n,f,p
f,p,h,b,f,p
a,w,k,b,t,e
n,n,k,b,f,e
f,w,h,b,t,p
n,u,n,b,t,e
f,b,w,n,f,p
y,b,w,n,f,p
p,p,k,n,t,p
n,p,n,b,t,e
f,h,h,b,f,p
n,p,k,b,t,e
p,p,k,n,t,p
n,o,b,b,f,e
y,b,w,n,f,p
f,g,h,b,f,p
n,u,k,b,t,e
f,h,h,b,f,p
n,o,b,b,f,e
l,n,k,b,t,e
a,g,n,b,t,e
f,p,h,b,f,p
n,w,w,n,f,p
n,n,k,n,f,e
f,g,h,b,f,p
n,h,k,b,f,e
f,b,w,n,f,p
n,n,k,b,t,e
l,n,u,n,t,e
n,k,k,b,f,e
n,n,k,b,f,e
n,w,w,b,t,e
n,p,n,b,t,e
f,b,w,n,f,p
f,g,h,b,f,p
n,w,k,b,t,e
n,p,k,b,t,e
n,k,k,b,f,e
n,n,k,b,t,e
n,u,k,b,t,e
l,g,n,b,t,e
n,g,r,b,t,p
f,b,w,n,f,p
l,k,k,b,t,e
f,b,w,n,f,p
n,n,n,b,f,e
f,g,h,b,f,p
a,n,k,b,t,e
f,p,h,b,f,p
